Airport,2017,2018
Haneda,154287,172155
Narita,154010,159723
Kansai,122031,122017
Fujisan_Shizuoka,173599,118592
Chubu,115268,117796
Takamatsu,37035,112275
Hiroshima,88725,112236
Shin_Chitose,103295,104099
Kagoshima,121616,101473
Naha,73216,86146
Fukuoka,92663,85090
Sendai,73410,81910
Komatsu,49498,69963
Hakodate,73887,68245
